#EXTM3U
#EXTINF:-1 tvg-name="💖天微③",💖天微③
央視频道,#genre#

CCTV1,http://222.214.208.34:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV1,http://nn.7x9d.cn/mk.php?ip=183.224.122.114:8014&id=cctv1$
CCTV1,http://23.237.228.134/live5/CCTV1.m3u8$央视频2
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub$央视频1
CCTV1,http://119.91.7.169:2026/ysws.php?id=CCTV1$央视频4
CCTV2,http://222.214.208.34:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV2,http://nn.7x9d.cn/mk.php?ip=183.224.122.114:8014&id=cctv2$
CCTV2,http://23.237.228.134/live5/CCTV2.m3u8$央视频2
CCTV2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub$央视频1
CCTV2,http://119.91.7.169:2026/ysws.php?id=CCTV2$央视频4
CCTV3,http://nn.7x9d.cn/mk.php?ip=183.224.122.114:8014&id=cctv3$
CCTV3,http://23.237.228.134/live5/CCTV3.m3u8$央视频2
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub$央视频1
CCTV3,http://119.91.7.169:2026/ysws.php?id=CCTV3$央视频4
CCTV4,http://222.214.208.34:59901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV4,http://nn.7x9d.cn/mk.php?ip=183.224.122.114:8014&id=cctv4$
CCTV4,http://23.237.228.134/live5/CCTV4.m3u8$央视频2
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub$央视频1
CCTV4,http://119.91.7.169:2026/ysws.php?id=CCTV4$央视频4
CCTV5,http://nn.7x9d.cn/mk.php?ip=183.224.122.114:8014&id=cctv5$
CCTV5,http://23.237.228.134/live5/CCTV5.m3u8$央视频2
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub$央视频1
CCTV5,http://119.91.7.169:2026/ysws.php?id=CCTV5$央视频4
CCTV5+,http://222.214.208.34:59901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV5+,http://nn.7x9d.cn/mk.php?ip=183.224.122.114:8014&id=cctv5p$
CCTV5+,http://23.237.228.134/live5/CCTV5p.m3u8$央视频2
CCTV5+,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub$央视频1
CCTV5+,http://119.91.7.169:2026/ysws.php?id=CCTV5p$央视频4
CCTV6,http://nn.7x9d.cn/mk.php?ip=183.224.122.114:8014&id=cctv6$
CCTV6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub$央视频1
CCTV6,http://119.91.7.169:2026/ysws.php?id=CCTV6$央视频4
CCTV7,http://222.214.208.34:59901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$
CCTV7,http://nn.7x9d.cn/mk.php?ip=183.224.122.114:8014&id=cctv7$
CCTV7,http://23.237.228.134/live5/CCTV7.m3u8$央视频2
CCTV7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub$央视频1
CCTV7,http://119.91.7.169:2026/ysws.php?id=CCTV7$央视频4
