#EXTM3U
#EXTINF:-1 tvg-name="幸福年年zb",幸福年年zb
央卫主线,#genre#
CCTV-1综合,http://36.24.201.56:4022/udp/233.50.200.130:5140
CCTV-1综合,http://111.196.130.39:8686/rtp/239.3.1.129:8008
CCTV-1综合,http://221.219.97.131:8012/rtp/239.3.1.129:8008
CCTV-1综合,http://175.0.71.111:8888/udp/239.76.253.151:9000
CCTV-1综合,http://175.0.71.111:8888/udp/239.76.251.87:9000
CCTV-1综合,http://175.0.71.111:8888/udp/239.76.246.151:1234
CCTV-1综合,http://124.165.232.26:8084/rtp/226.0.2.153:9136
CCTV-1综合,http://124.165.232.26:8083/rtp/226.0.2.153:9136
CCTV-1综合,http://112.115.49.181:4915/udp/239.200.201.135:8880
CCTV-1综合,http://112.115.49.181:4915/udp/239.200.200.70:8008
CCTV-1综合,http://112.115.49.181:4915/udp/239.200.200.95:8044
CCTV-1综合,http://112.115.49.181:4915/rtp/239.200.200.2:8080
CCTV-1综合,http://112.115.49.181:4915/rtp/239.200.200.14:8852
CCTV-1综合,http://112.115.49.181:4915/rtp/239.200.201.45:8800
CCTV-1综合,http://112.115.49.181:4915/rtp/239.200.200.117:8712
CCTV-1综合,http://121.10.7.16:4000/udp/239.77.1.144:5146
CCTV-1综合,http://14.145.187.131:4022/udp/239.77.1.144:5146
CCTV-1综合,http://125.121.255.120:9988/udp/233.50.200.130:5140
CCTV-2财经,http://121.10.7.16:4000/udp/239.77.1.158:5146
CCTV-2财经,http://14.145.187.131:4022/udp/239.77.1.158:5146
CCTV-2财经,http://125.121.255.120:9988/udp/233.50.200.25:5140
CCTV-2财经,http://36.24.201.56:4022/udp/233.50.200.25:5140
CCTV-2财经,http://111.196.130.39:8686/rtp/239.3.1.60:8084
CCTV-2财经,http://221.219.97.131:8012/rtp/239.3.1.60:8084
CCTV-2财经,http://175.0.71.111:8888/udp/239.76.253.152:9000
CCTV-2财经,http://175.0.71.111:8888/udp/239.76.246.152:1234
CCTV-2财经,http://124.165.232.26:8084/rtp/226.0.2.154:9144
CCTV-2财经,http://124.165.232.26:8083/rtp/226.0.2.154:9144
CCTV-2财经,http://112.115.49.181:4915/udp/239.200.200.104:8084
CCTV-3综艺,http://121.10.7.16:4000/udp/239.77.0.169:5146
CCTV-3综艺,http://14.145.187.131:4022/udp/239.77.0.169:5146
CCTV-3综艺,http://125.121.255.120:9988/udp/233.50.201.196:5140
CCTV-3综艺,http://36.24.201.56:4022/udp/233.50.201.196:5140
CCTV-3综艺,http://111.196.130.39:8686/rtp/239.3.1.172:8001
CCTV-3综艺,http://221.219.97.131:8012/rtp/239.3.1.172:8001
CCTV-3综艺,http://175.0.71.111:8888/udp/239.76.253.153:9000
CCTV-3综艺,http://175.0.71.111:8888/udp/239.76.246.153:1234
CCTV-3综艺,http://124.165.232.26:8084/rtp/226.0.2.208:9576
CCTV-3综艺,http://124.165.232.26:8083/rtp/226.0.2.208:9576
CCTV-3综艺,http://112.115.49.181:4915/udp/239.200.200.18:9008
CCTV-4中文国际,http://121.10.7.16:4000/udp/239.77.1.163:5146
CCTV-4中文国际,http://14.145.187.131:4022/udp/239.77.1.163:5146
CCTV-4中文国际,http://125.121.255.120:9988/udp/233.50.200.101:5140
CCTV-4中文国际,http://36.24.201.56:4022/udp/233.50.200.101:5140
CCTV-4中文国际,http://111.196.130.39:8686/rtp/239.3.1.105:8092
CCTV-4中文国际,http://221.219.97.131:8012/rtp/239.3.1.105:8092
CCTV-4中文国际,http://175.0.71.111:8888/udp/239.76.253.154:9000
CCTV-4中文国际,http://175.0.71.111:8888/udp/239.76.246.154:1234
CCTV-4中文国际,http://175.0.71.111:8888/udp/239.76.245.195:1234
CCTV-4中文国际,http://124.165.232.26:8084/rtp/226.0.2.156:9160
CCTV-4中文国际,http://124.165.232.26:8083/rtp/226.0.2.156:9160
CCTV-4中文国际,http://112.115.49.181:4915/udp/239.200.200.128:8652
CCTV-5体育,http://121.10.7.16:4000/udp/239.77.0.170:5146
CCTV-5体育,http://14.145.187.131:4022/udp/239.77.0.170:5146
CCTV-5体育,http://125.121.255.120:9988/udp/233.50.201.197:5140
CCTV-5体育,http://36.24.201.56:4022/udp/233.50.201.197:5140
CCTV-5体育,http://111.196.130.39:8686/rtp/239.3.1.173:8001
CCTV-5体育,http://221.219.97.131:8012/rtp/239.3.1.173:8001
CCTV-5体育,http://175.0.71.111:8888/udp/239.76.253.155:9000
CCTV-5体育,http://175.0.71.111:8888/udp/239.76.254.214:9000
CCTV-5体育,http://175.0.71.111:8888/udp/239.76.246.155:1234
CCTV-5体育,http://124.165.232.26:8084/rtp/226.0.2.209:9584
CCTV-5体育,http://124.165.232.26:8083/rtp/226.0.2.209:9584
CCTV-5体育,http://112.115.49.181:4915/udp/239.200.200.20:9016
CCTV-5+体育赛事,http://121.10.7.16:4000/udp/239.77.0.87:5146
CCTV-5+体育赛事,http://121.10.7.16:4000/udp/239.77.1.31:5146
CCTV-5+体育赛事,http://14.145.187.131:4022/udp/239.77.0.87:5146
CCTV-5+体育赛事,http://14.145.187.131:4022/udp/239.77.1.31:5146
CCTV-5+体育赛事,http://125.121.255.120:9988/udp/233.50.201.220:5140
CCTV-5+体育赛事,http://36.24.201.56:4022/udp/233.50.201.220:5140
CCTV-5+体育赛事,http://111.196.130.39:8686/rtp/239.3.1.130:8004
CCTV-5+体育赛事,http://221.219.97.131:8012/rtp/239.3.1.130:8004
CCTV-5+体育赛事,http://175.0.71.111:8888/udp/239.76.253.168:9000
CCTV-5+体育赛事,http://175.0.71.111:8888/udp/239.76.251.88:9000
CCTV-5+体育赛事,http://175.0.71.111:8888/udp/239.76.254.215:9000
CCTV-5+体育赛事,http://175.0.71.111:8888/udp/239.76.246.168:1234
CCTV-5+体育赛事,http://124.165.232.26:8084/rtp/226.0.2.168:9256
CCTV-5+体育赛事,http://124.165.232.26:8083/rtp/226.0.2.168:9256
CCTV-5+体育赛事,http://112.115.49.181:4915/rtp/239.200.200.9:8004
CCTV-6电影,http://121.10.7.16:4000/udp/239.77.0.171:5146
CCTV-6电影,http://14.145.187.131:4022/udp/239.77.0.171:5146
CCTV-6电影,http://125.121.255.120:9988/udp/233.50.201.198:5140
CCTV-6电影,http://36.24.201.56:4022/udp/233.50.201.198:5140
CCTV-6电影,http://111.196.130.39:8686/rtp/239.3.1.174:8001
CCTV-6电影,http://221.219.97.131:8012/rtp/239.3.1.174:8001
CCTV-6电影,http://175.0.71.111:8888/udp/239.76.253.156:9000
CCTV-6电影,http://175.0.71.111:8888/udp/239.76.246.156:1234
CCTV-6电影,http://124.165.232.26:8084/rtp/226.0.2.210:9592
CCTV-6电影,http://124.165.232.26:8083/rtp/226.0.2.210:9592
CCTV-6电影,http://112.115.49.181:4915/rtp/239.200.200.21:9020
CCTV-7国防军事,http://121.10.7.16:4000/udp/239.77.0.138:5146
CCTV-7国防军事,http://14.145.187.131:4022/udp/239.77.0.138:5146
CCTV-7国防军事,http://125.121.255.120:9988/udp/233.50.200.24:5140
CCTV-7国防军事,http://36.24.201.56:4022/udp/233.50.200.24:5140
CCTV-7国防军事,http://111.196.130.39:8686/rtp/239.3.1.61:8104
CCTV-7国防军事,http://221.219.97.131:8012/rtp/239.3.1.61:8104
CCTV-7国防军事,http://175.0.71.111:8888/udp/239.76.253.157:9000
CCTV-7国防军事,http://175.0.71.111:8888/udp/239.76.246.157:1234
CCTV-7国防军事,http://124.165.232.26:8084/rtp/226.0.2.159:9184
CCTV-7国防军事,http://124.165.232.26:8083/rtp/226.0.2.159:9184
CCTV-7国防军事,http://112.115.49.181:4915/udp/239.200.200.105:8104
CCTV-8电视剧,http://121.10.7.16:4000/udp/239.77.0.172:5146
CCTV-8电视剧,http://14.145.187.131:4022/udp/239.77.0.172:5146
CCTV-8电视剧,http://125.121.255.120:9988/udp/233.50.201.199:5140
CCTV-8电视剧,http://36.24.201.56:4022/udp/233.50.201.199:5140
CCTV-8电视剧,http://111.196.130.39:8686/rtp/239.3.1.175:8001
CCTV-8电视剧,http://221.219.97.131:8012/rtp/239.3.1.175:8001
CCTV-8电视剧,http://175.0.71.111:8888/udp/239.76.253.158:9000
CCTV-8电视剧,http://175.0.71.111:8888/udp/239.76.246.158:1234
CCTV-8电视剧,http://124.165.232.26:8084/rtp/226.0.2.211:9600
CCTV-8电视剧,http://124.165.232.26:8083/rtp/226.0.2.211:9600
CCTV-8电视剧,http://112.115.49.181:4915/udp/239.200.200.23:9028
CCTV-9纪录,http://121.10.7.16:4000/udp/239.77.0.135:5146
CCTV-9纪录,http://14.145.187.131:4022/udp/239.77.0.135:5146
CCTV-9纪录,http://125.121.255.120:9988/udp/233.50.201.121:5140
CCTV-9纪录,http://36.24.201.56:4022/udp/233.50.201.121:5140
CCTV-9纪录,http://111.196.130.39:8686/rtp/239.3.1.62:8112
CCTV-9纪录,http://221.219.97.131:8012/rtp/239.3.1.62:8112
CCTV-9纪录,http://175.0.71.111:8888/udp/239.76.253.159:9000
CCTV-9纪录,http://175.0.71.111:8888/udp/239.76.246.159:1234
CCTV-9纪录,http://124.165.232.26:8084/rtp/226.0.2.161:9200
CCTV-9纪录,http://124.165.232.26:8083/rtp/226.0.2.161:9200
CCTV-9纪录,http://112.115.49.181:4915/udp/239.200.200.106:8112
CCTV-10科教,http://121.10.7.16:4000/udp/239.77.0.134:5146
CCTV-10科教,http://14.145.187.131:4022/udp/239.77.0.134:5146
CCTV-10科教,http://125.121.255.120:9988/udp/233.50.201.122:5140
CCTV-10科教,http://36.24.201.56:4022/udp/233.50.201.122:5140
CCTV-10科教,http://111.196.130.39:8686/rtp/239.3.1.63:8116
CCTV-10科教,http://221.219.97.131:8012/rtp/239.3.1.63:8116
CCTV-10科教,http://175.0.71.111:8888/udp/239.76.253.160:9000
CCTV-10科教,http://175.0.71.111:8888/udp/239.76.246.160:1234
CCTV-10科教,http://124.165.232.26:8084/rtp/226.0.2.162:9208
CCTV-10科教,http://124.165.232.26:8083/rtp/226.0.2.162:9208
CCTV-10科教,http://112.115.49.181:4915/rtp/239.200.200.107:8116
CCTV-11戏曲,http://121.10.7.16:4000/udp/239.77.1.238:5146
CCTV-11戏曲,http://14.145.187.131:4022/udp/239.77.1.238:5146
CCTV-11戏曲,http://111.196.130.39:8686/rtp/239.3.1.152:8120
CCTV-11戏曲,http://221.219.97.131:8012/rtp/239.3.1.152:8120
CCTV-11戏曲,http://175.0.71.111:8888/udp/239.76.252.251:9000
CCTV-11戏曲,http://175.0.71.111:8888/udp/239.76.245.251:1234
CCTV-11戏曲,http://112.115.49.181:4915/rtp/239.200.201.125:8480
CCTV-12社会与法,http://121.10.7.16:4000/udp/239.77.0.136:5146
CCTV-12社会与法,http://14.145.187.131:4022/udp/239.77.0.136:5146
CCTV-12社会与法,http://125.121.255.120:9988/udp/233.50.201.123:5140
CCTV-12社会与法,http://36.24.201.56:4022/udp/233.50.201.123:5140
CCTV-12社会与法,http://111.196.130.39:8686/rtp/239.3.1.64:8124
CCTV-12社会与法,http://221.219.97.131:8012/rtp/239.3.1.64:8124
CCTV-12社会与法,http://175.0.71.111:8888/udp/239.76.253.162:9000
CCTV-12社会与法,http://175.0.71.111:8888/udp/239.76.246.162:1234
CCTV-12社会与法,http://124.165.232.26:8084/rtp/226.0.2.164:9224
CCTV-12社会与法,http://124.165.232.26:8083/rtp/226.0.2.164:9224
CCTV-12社会与法,http://112.115.49.181:4915/udp/239.200.200.108:8124
CCTV-13新闻,http://121.10.7.16:4000/udp/239.253.43.196:5146
CCTV-13新闻,http://14.145.187.131:4022/udp/239.253.43.196:5146
CCTV-13新闻,http://125.121.255.120:9988/udp/233.50.201.246:5140
CCTV-13新闻,http://36.24.201.56:4022/udp/233.50.201.246:5140
CCTV-13新闻,http://111.196.130.39:8686/rtp/239.3.1.124:8128
CCTV-13新闻,http://221.219.97.131:8012/rtp/239.3.1.124:8128
CCTV-13新闻,http://175.0.71.111:8888/udp/239.76.253.93:9000
CCTV-13新闻,http://175.0.71.111:8888/udp/239.76.251.84:9000
CCTV-13新闻,http://175.0.71.111:8888/udp/239.76.246.93:1234
CCTV-13新闻,http://124.165.232.26:8084/rtp/226.0.2.165:9232
CCTV-13新闻,http://124.165.232.26:8083/rtp/226.0.2.165:9232
CCTV-13新闻,http://112.115.49.181:4915/udp/239.200.201.170:8620
CCTV-14少儿,http://121.10.7.16:4000/udp/239.77.1.161:5146
CCTV-14少儿,http://14.145.187.131:4022/udp/239.77.1.161:5146
CCTV-14少儿,http://125.121.255.120:9988/udp/233.50.201.124:5140
CCTV-14少儿,http://36.24.201.56:4022/udp/233.50.201.124:5140
CCTV-14少儿,http://111.196.130.39:8686/rtp/239.3.1.65:8132
CCTV-14少儿,http://221.219.97.131:8012/rtp/239.3.1.65:8132
CCTV-14少儿,http://175.0.71.111:8888/udp/239.76.253.164:9000
CCTV-14少儿,http://175.0.71.111:8888/udp/239.76.246.164:1234
CCTV-14少儿,http://124.165.232.26:8084/rtp/226.0.2.166:9240
CCTV-14少儿,http://124.165.232.26:8083/rtp/226.0.2.166:9240
CCTV-14少儿,http://112.115.49.181:4915/udp/239.200.200.109:8132
CCTV-15音乐,http://121.10.7.16:4000/udp/239.77.1.239:5146
CCTV-15音乐,http://14.145.187.131:4022/udp/239.77.1.239:5146
CCTV-15音乐,http://111.196.130.39:8686/rtp/239.3.1.153:8136
CCTV-15音乐,http://221.219.97.131:8012/rtp/239.3.1.153:8136
CCTV-15音乐,http://175.0.71.111:8888/udp/239.76.252.252:9000
CCTV-15音乐,http://175.0.71.111:8888/udp/239.76.245.252:1234
CCTV-15音乐,http://112.115.49.181:4915/rtp/239.200.201.112:8496
CCTV-16奥林匹克,http://121.10.7.16:4000/udp/239.77.0.165:5146
CCTV-16奥林匹克,http://14.145.187.131:4022/udp/239.77.0.165:5146
CCTV-16奥林匹克,http://125.121.255.120:9988/udp/233.50.201.192:5140
CCTV-16奥林匹克,http://36.24.201.56:4022/udp/233.50.201.192:5140
CCTV-16奥林匹克,http://111.196.130.39:8686/rtp/239.3.1.184:8001
CCTV-16奥林匹克,http://221.219.97.131:8012/rtp/239.3.1.184:8001
CCTV-16奥林匹克,http://175.0.71.111:8888/udp/239.76.253.98:9000
CCTV-16奥林匹克,http://175.0.71.111:8888/udp/239.76.246.98:1234
CCTV-16奥林匹克,http://124.165.232.26:8084/rtp/226.0.2.169:9264
CCTV-16奥林匹克,http://124.165.232.26:8083/rtp/226.0.2.169:9264
CCTV-16奥林匹克,http://112.115.49.181:4915/rtp/239.200.200.193:8776
CCTV-17农业农村,http://121.10.7.16:4000/udp/239.77.1.121:5146
CCTV-17农业农村,http://14.145.187.131:4022/udp/239.77.1.121:5146
CCTV-17农业农村,http://125.121.255.120:9988/udp/233.50.200.113:5140
CCTV-17农业农村,http://36.24.201.56:4022/udp/233.50.200.113:5140
CCTV-17农业农村,http://111.196.130.39:8686/rtp/239.3.1.151:8144
CCTV-17农业农村,http://221.219.97.131:8012/rtp/239.3.1.151:8144
CCTV-17农业农村,http://175.0.71.111:8888/udp/239.76.252.238:9000
CCTV-17农业农村,http://175.0.71.111:8888/udp/239.76.245.238:1234
CCTV-17农业农村,http://124.165.232.26:8084/rtp/226.0.2.170:9272
CCTV-17农业农村,http://124.165.232.26:8083/rtp/226.0.2.170:9272
CCTV-17农业农村,http://112.115.49.181:4915/rtp/239.200.201.128:8504
CCTV-兵器科技,http://121.10.7.16:4000/udp/239.253.43.9:5146
CCTV-兵器科技,http://14.145.187.131:4022/udp/239.253.43.9:5146
CCTV-兵器科技,http://175.0.71.111:8888/udp/239.76.254.59:9000
CCTV-兵器科技,http://124.165.232.26:8084/rtp/226.0.2.223:9696
CCTV-兵器科技,http://124.165.232.26:8083/rtp/226.0.2.223:9696
CCTV-第一剧场,http://121.10.7.16:4000/udp/239.253.43.15:5146
CCTV-第一剧场,http://14.145.187.131:4022/udp/239.253.43.15:5146
CCTV-第一剧场,http://175.0.71.111:8888/udp/239.76.254.49:9000
CCTV-第一剧场,http://124.165.232.26:8084/rtp/226.0.2.221:9680
CCTV-第一剧场,http://124.165.232.26:8083/rtp/226.0.2.221:9680
CCTV-电视指南,http://121.10.7.16:4000/udp/239.253.43.10:5146
CCTV-电视指南,http://14.145.187.131:4022/udp/239.253.43.10:5146
CCTV-电视指南,http://175.0.71.111:8888/udp/239.76.254.61:9000
CCTV-电视指南,http://124.165.232.26:8084/rtp/226.0.2.218:9656
CCTV-电视指南,http://124.165.232.26:8083/rtp/226.0.2.218:9656
CCTV-风云剧场,http://121.10.7.16:4000/udp/239.253.43.16:5146
CCTV-风云剧场,http://14.145.187.131:4022/udp/239.253.43.16:5146
CCTV-风云剧场,http://175.0.71.111:8888/udp/239.76.254.50:9000
CCTV-风云剧场,http://124.165.232.26:8084/rtp/226.0.2.227:9728
CCTV-风云剧场,http://124.165.232.26:8083/rtp/226.0.2.227:9728
CCTV-风云音乐,http://121.10.7.16:4000/udp/239.253.43.6:5146
CCTV-风云音乐,http://14.145.187.131:4022/udp/239.253.43.6:5146
CCTV-风云音乐,http://175.0.71.111:8888/udp/239.76.254.51:9000
CCTV-风云音乐,http://124.165.232.26:8084/rtp/226.0.2.220:9672
CCTV-风云音乐,http://124.165.232.26:8083/rtp/226.0.2.220:9672
CCTV-风云足球,http://121.10.7.16:4000/udp/239.253.43.14:5146
CCTV-风云足球,http://14.145.187.131:4022/udp/239.253.43.14:5146
CCTV-风云足球,http://175.0.71.111:8888/udp/239.76.254.52:9000
CCTV-风云足球,http://124.165.232.26:8084/rtp/226.0.2.225:9712
CCTV-风云足球,http://124.165.232.26:8083/rtp/226.0.2.225:9712
CCTV-高尔夫·网球,http://121.10.7.16:4000/udp/239.253.43.12:5146
